,score,time
Nearest Neighbors,0.5551635663887107,0.046823978424072266
Linear SVM,0.6834509300833868,4965.896061182022
RBF SVM,0.43681847338037205,47.829200983047485
Gaussian Process,0.0009621552277100705,2168.0496394634247
Decision Tree,1.0,0.1093144416809082
Random Forest,0.5378447722899294,0.0624842643737793
Neural Net,0.44419499679281593,1.031566858291626
AdaBoost,0.7491982039769083,1.765207290649414
Naive Bayes,0.24983964079538165,0.03124237060546875
QDA,0.9961513790891597,0.07810711860656738
