,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),full_state_cluster,full_irsbrac_cluster,income_level,zi_irsbrac_cluster,full_quart_cluster,income_quartile,zi_quart_cluster,zi_state_cluster,full_sgroup_cluster,zi_sgroup_cluster,Group,Metro,State,zipcode,City,County,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
0,82352.0,NY,2,3,2,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10025,New York,New York County,-0.110484581,1.0,41.7,81.4,50.5,21.6,2.1,20.0,35.0,0.0,31.0,416.0,265.0,325.0,488.0,406.0,132.0,213.0,33.4,85.0
1,88708.0,NY,2,3,4,2,2,2,MA,Middle Atlantic,East North Central,East North Central,Chicago-Naperville-Elgin,IL,60657,Chicago,Cook County,0.0039817970000000005,2.0,31.2,102.2,24.6,14.3,1.89,2.0,31.0,0.0,48.0,104.0,927.0,333.0,720.0,491.0,182.0,213.0,34.2,28.0
2,123951.0,NY,2,4,4,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10023,New York,New York County,-0.104369571,6.0,42.6,80.4,53.1,21.2,1.81,5.0,42.0,0.0,43.0,516.0,186.0,212.0,474.0,446.0,97.0,123.0,29.8,96.0
3,137600.0,TX,2,4,4,2,2,2,NJ,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77494,Katy,Harris County,0.02388974,1.0,34.8,97.2,68.5,57.3,3.24,8.0,41.0,0.0,20.0,385.0,1920.0,156.0,369.0,28.0,82.0,181.0,36.3,69.0
4,100116.0,NY,2,4,4,2,2,2,NY,Middle Atlantic,Middle Atlantic,East North Central,Chicago-Naperville-Elgin,IL,60614,Chicago,Cook County,0.007923560999999999,1.0,30.2,99.8,29.3,17.9,1.98,0.0,32.0,0.0,49.0,233.0,659.0,222.0,1006.0,473.0,219.0,263.0,30.8,54.0
5,52785.0,TX,2,2,1,1,1,1,NY,South Atlantic,East North Central,West South Central,El Paso,TX,79936,El Paso,El Paso County,0.066390041,2.0,31.2,97.2,56.2,43.1,3.21,31.0,48.0,0.0,18.0,64.0,110.0,31.0,30.0,11.0,0.0,16.0,22.2,12.0
6,72397.0,TX,2,2,2,2,1,1,PA,South Atlantic,East North Central,West South Central,Houston-The Woodlands-Sugar Land,TX,77449,Katy,Harris County,0.048710602,2.0,31.3,92.2,56.8,48.4,3.53,31.0,42.0,0.0,30.0,94.0,556.0,168.0,343.0,8.0,14.0,119.0,33.9,85.0
7,65617.0,TX,2,2,2,2,1,1,IL,South Atlantic,East North Central,West South Central,Houston-The Woodlands-Sugar Land,TX,77084,Houston,Harris County,0.091245376,1.0,33.0,101.5,54.2,43.3,3.09,41.0,66.0,34.0,30.0,0.0,535.0,72.0,52.0,115.0,0.0,50.0,33.0,63.0
8,35449.0,NY,2,1,2,2,0,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10002,New York,New York County,-0.039792388,0.0,41.8,94.8,51.0,20.5,2.27,28.0,45.0,9.0,36.0,131.0,199.0,10.0,390.0,143.0,8.0,64.0,32.6,229.0
9,35381.0,NY,2,1,1,2,0,1,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10467,New York,Bronx County,0.078614762,3.0,33.9,93.3,57.7,39.6,2.78,56.0,69.0,9.0,40.0,23.0,15.0,0.0,13.0,26.0,0.0,0.0,46.0,162.0
10,50488.0,NY,2,2,1,2,1,1,FL,Middle Atlantic,East North Central,East North Central,Chicago-Naperville-Elgin,IL,60640,Chicago,Cook County,-0.015320911,0.0,37.4,108.3,34.8,17.3,1.91,9.0,36.0,4.0,46.0,54.0,479.0,311.0,530.0,298.0,161.0,120.0,37.7,7.0
11,48495.0,NY,2,1,2,2,1,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,11226,New York,Kings County,0.116507467,0.0,34.1,80.7,53.0,35.8,2.77,27.0,53.0,5.0,45.0,42.0,75.0,64.0,205.0,68.0,8.0,125.0,45.0,0.0
12,79979.0,NY,2,3,2,2,2,2,CA,Middle Atlantic,Pacific,Pacific,San Francisco-Oakland-Hayward,CA,94109,San Francisco,San Francisco County,0.005937575,2.0,36.9,111.5,27.8,6.6,1.66,1.0,22.0,0.0,23.0,248.0,300.0,343.0,472.0,152.0,90.0,246.0,30.2,26.0
