,Metro,State,zipcode,City,County
0,New York-Newark-Jersey City,NY,10025,New York,New York County
1,Chicago-Naperville-Elgin,IL,60657,Chicago,Cook County
2,New York-Newark-Jersey City,NY,10023,New York,New York County
3,Houston-The Woodlands-Sugar Land,TX,77494,Katy,Harris County
4,Chicago-Naperville-Elgin,IL,60614,Chicago,Cook County
5,El Paso,TX,79936,El Paso,El Paso County
6,Houston-The Woodlands-Sugar Land,TX,77449,Katy,Harris County
7,Houston-The Woodlands-Sugar Land,TX,77084,Houston,Harris County
8,New York-Newark-Jersey City,NY,10002,New York,New York County
9,New York-Newark-Jersey City,NY,10467,New York,Bronx County
10,Chicago-Naperville-Elgin,IL,60640,Chicago,Cook County
11,New York-Newark-Jersey City,NY,11226,New York,Kings County
12,San Francisco-Oakland-Hayward,CA,94109,San Francisco,San Francisco County
13,New York-Newark-Jersey City,NY,10016,New York,New York County
14,Nashville-Davidson--Murfreesboro--Franklin,TN,37013,Nashville,Davidson County
15,Austin-Round Rock,TX,78660,Pflugerville,Travis County
16,The Villages,FL,32162,The Villages,Sumter County
17,New York-Newark-Jersey City,NY,11375,New York,Queens County
18,New York-Newark-Jersey City,NY,11235,New York,Kings County
19,Chicago-Naperville-Elgin,IL,60647,Chicago,Cook County
20,Los Angeles-Long Beach-Anaheim,CA,90250,Hawthorne,Los Angeles County
21,Nashville-Davidson--Murfreesboro--Franklin,TN,37211,Nashville,Davidson County
22,New York-Newark-Jersey City,NY,10029,New York,New York County
23,New York-Newark-Jersey City,NY,10009,New York,New York County
24,Chicago-Naperville-Elgin,IL,60618,Chicago,Cook County
25,New York-Newark-Jersey City,NY,10011,New York,New York County
26,Houston-The Woodlands-Sugar Land,TX,77573,League City,Galveston County
27,Houston-The Woodlands-Sugar Land,TX,77584,Pearland,Brazoria County
28,New York-Newark-Jersey City,NY,10128,New York,New York County
29,Washington-Arlington-Alexandria,DC,20002,Washington,District of Columbia
30,San Antonio-New Braunfels,TX,78130,New Braunfels,Comal County
31,Charlotte-Concord-Gastonia,NC,28269,Charlotte,Mecklenburg County
32,Austin-Round Rock,TX,78613,Cedar Park,Williamson County
33,McAllen-Edinburg-Mission,TX,78572,Mission,Hidalgo County
34,San Francisco-Oakland-Hayward,CA,94565,Pittsburg,Contra Costa County
35,El Paso,TX,79912,El Paso,El Paso County
36,Atlanta-Sandy Springs-Roswell,GA,30349,Riverdale,Clayton County
37,Los Angeles-Long Beach-Anaheim,CA,90046,Los Angeles,Los Angeles County
38,Washington-Arlington-Alexandria,DC,20009,Washington,District of Columbia
39,Dallas-Fort Worth-Arlington,TX,75052,Grand Prairie,Dallas County
40,Clarksville,TN,37042,Clarksville,Montgomery County
41,Houston-The Woodlands-Sugar Land,TX,77433,Cypress,Harris County
42,Oklahoma City,OK,73099,Yukon,Canadian County
43,New York-Newark-Jersey City,NY,10462,New York,Bronx County
44,New York-Newark-Jersey City,NY,11206,New York,Kings County
45,Houston-The Woodlands-Sugar Land,TX,77429,Cypress,Harris County
46,New York-Newark-Jersey City,NY,10003,New York,New York County
47,Houston-The Woodlands-Sugar Land,TX,77479,Sugar Land,Fort Bend County
48,Atlanta-Sandy Springs-Roswell,GA,30044,Lawrenceville,Gwinnett County
49,St. Louis,MO,63376,Saint Peters,Saint Charles County
50,Chicago-Naperville-Elgin,IL,60613,Chicago,Cook County
51,New York-Newark-Jersey City,NY,10463,New York,Bronx County
52,Atlanta-Sandy Springs-Roswell,GA,30043,Lawrenceville,Gwinnett County
53,New York-Newark-Jersey City,NY,11212,New York,Kings County
54,New York-Newark-Jersey City,NY,11230,New York,Kings County
55,Chicago-Naperville-Elgin,IL,60625,Chicago,Cook County
56,New York-Newark-Jersey City,NY,11209,New York,Kings County
57,Chicago-Naperville-Elgin,IL,60629,Chicago,Cook County
58,Charlotte-Concord-Gastonia,NC,28277,Charlotte,Mecklenburg County
59,New York-Newark-Jersey City,NJ,7030,Hoboken,Hudson County
60,San Antonio-New Braunfels,TX,78245,San Antonio,Bexar County
61,Dallas-Fort Worth-Arlington,TX,75287,Dallas,Dallas County
62,Austin-Round Rock,TX,78704,Austin,Travis County
63,Phoenix-Mesa-Scottsdale,AZ,85032,Phoenix,Maricopa County
