,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
0,-0.110484581,1.0,41.7,81.4,50.5,21.6,2.1,20.0,35.0,0.0,31.0,416.0,265.0,325.0,488.0,406.0,132.0,213.0,33.4,85.0
1,0.0039817970000000005,2.0,31.2,102.2,24.6,14.3,1.89,2.0,31.0,0.0,48.0,104.0,927.0,333.0,720.0,491.0,182.0,213.0,34.2,28.0
2,-0.104369571,6.0,42.6,80.4,53.1,21.2,1.81,5.0,42.0,0.0,43.0,516.0,186.0,212.0,474.0,446.0,97.0,123.0,29.8,96.0
3,0.02388974,1.0,34.8,97.2,68.5,57.3,3.24,8.0,41.0,0.0,20.0,385.0,1920.0,156.0,369.0,28.0,82.0,181.0,36.3,69.0
4,0.007923560999999999,1.0,30.2,99.8,29.3,17.9,1.98,0.0,32.0,0.0,49.0,233.0,659.0,222.0,1006.0,473.0,219.0,263.0,30.8,54.0
5,0.066390041,2.0,31.2,97.2,56.2,43.1,3.21,31.0,48.0,0.0,18.0,64.0,110.0,31.0,30.0,11.0,0.0,16.0,22.2,12.0
6,0.048710602,2.0,31.3,92.2,56.8,48.4,3.53,31.0,42.0,0.0,30.0,94.0,556.0,168.0,343.0,8.0,14.0,119.0,33.9,85.0
7,0.091245376,1.0,33.0,101.5,54.2,43.3,3.09,41.0,66.0,34.0,30.0,0.0,535.0,72.0,52.0,115.0,0.0,50.0,33.0,63.0
8,-0.039792388,0.0,41.8,94.8,51.0,20.5,2.27,28.0,45.0,9.0,36.0,131.0,199.0,10.0,390.0,143.0,8.0,64.0,32.6,229.0
9,0.078614762,3.0,33.9,93.3,57.7,39.6,2.78,56.0,69.0,9.0,40.0,23.0,15.0,0.0,13.0,26.0,0.0,0.0,46.0,162.0
