,rsquared,maxcoef,inter,mse,mae,count,mean,std,min,25%,50%,75%,max
CA,0.4292,1894.2664,-21595.5277,21261.4588,15195.2662,3173.0,64963.5468049797,26388.583017281122,15309.0,46872.0,59820.0,77490.0,244671.0
FL,0.4147,12075.1598,-37747.2574,13852.9568,10991.1358,634.0,55810.231861198736,17299.16361057552,25539.0,43441.5,52345.5,65485.75,139135.0
IL,0.904,5169.157,-188343.5297,16984.1042,13674.4549,65.0,82808.69230769231,26495.525931821892,36701.0,63044.0,80914.0,99455.0,143084.0
IN,0.2511,9957.2259,-17227.5107,9548.7484,7681.1898,1134.0,50254.65300092606,11352.00921428369,21819.0,41874.0,50000.0,57343.0,97429.0
LA,0.6958,33821.2414,-117897.1994,12757.7024,10570.5075,128.0,57565.5,15110.88226057345,26314.0,47203.25,55861.5,66113.25,97604.0
MA,0.8463,36558.7351,-178175.7214,11120.092,6868.9116,63.0,64260.71428571428,16645.30609649708,32554.0,52449.5,65890.0,75803.5,100311.0
MD,0.7647,25982.4747,-60594.2767,14758.7695,12738.1987,124.0,63493.81451612903,23347.704725672414,20088.0,47094.75,57738.0,78200.5,142349.0
MI,0.7077,33557.2626,-113265.6569,9716.9324,7961.4483,305.0,67732.40327868852,17687.29866720049,34493.0,53215.0,66774.0,78995.0,138006.0
MN,0.7802,23365.1803,-20900.3859,14182.6644,10136.4839,131.0,69911.82442748091,20087.937259605835,36850.0,54648.5,65323.0,83629.0,131004.0
NC,0.5553,10891.2667,-41530.9849,9596.9249,7637.4412,614.0,54900.61074918567,14376.140776578679,29631.0,44443.25,52376.5,61787.75,112655.0
NE,0.7269,29347.3284,-83357.4935,12326.622,10277.9125,69.0,60963.159420289856,15162.917967298874,37784.0,50843.0,57115.0,65583.0,106875.0
NH,1.0,1682.9968,-17130.8349,21868.3191,17121.5689,15.0,61015.9501016717,18172.95125882922,38947.0,49318.0,56917.0,65717.62576253773,98125.0
NJ,0.5637,23111.8729,-118009.3727,14500.7624,10814.0815,595.0,93402.63697478992,20620.48079478406,41294.0,78255.5,93226.0,106061.0,176183.0
NY,0.4539,33215.8216,-121390.183,24345.2466,17726.2206,3149.0,80792.20855972538,32164.409042295865,25530.0,57520.0,74167.0,97549.0,219868.0
OH,0.9499,27840.1242,-262344.9142,11251.0459,8416.5149,43.0,62603.32558139535,14974.269612080665,30464.0,51457.0,62115.0,74404.5,91211.0
PA,0.3208,19210.8463,-24040.3481,10654.5714,8521.5195,2779.0,56319.468964204774,13255.725763113214,17700.0,47212.0,54806.0,64014.5,120825.0
TN,0.3095,18501.5865,-37365.1949,11507.5565,9079.1348,220.0,50491.33181818182,13192.623937283332,23041.0,41201.75,48657.5,56724.5,95701.0
TX,0.6215,15736.1032,-107728.3258,12555.4096,9757.2891,2281.0,54720.23334130867,19944.356034631695,13087.0,41451.0,50088.0,63102.0,207127.0
UT,0.9088,29239.7377,-137893.8586,9560.0138,7709.9057,67.0,68814.46268656716,18402.142271805435,32639.0,55342.0,65471.0,82778.0,113880.0
